"Index","SKY.Open","SKY.High","SKY.Low","SKY.Close","SKY.Volume","SKY.Adjusted"
"2021-02-11",43.25,44.990002,42.720001,44.709999,1288800,44.709999
"2021-02-12",44.450001,44.450001,43.32,43.779999,304000,43.779999
"2021-02-16",44.330002,44.330002,42.529999,42.799999,359300,42.799999
"2021-02-17",42.150002,43.810001,41.790001,43.790001,750200,43.790001
"2021-02-18",43.650002,43.91,43.150002,43.34,328000,43.34
"2021-02-19",43.84,44.950001,43.619999,44.470001,253900,44.470001
"2021-02-22",43.900002,44.990002,43.209999,44.209999,275000,44.209999
"2021-02-23",43.639999,45.099998,43.27,44.43,420100,44.43
"2021-02-24",44.389999,46.110001,43.200001,45.959999,323800,45.959999
"2021-02-25",45.360001,45.950001,43.220001,43.34,399600,43.34
"2021-02-26",44.25,45.209999,43.669998,44.25,494800,44.25
"2021-03-01",45.560001,47.57,45.360001,46.919998,733500,46.919998
"2021-03-02",46.650002,47.279999,45.82,45.82,937500,45.82
"2021-03-03",45.52,45.860001,43.380001,43.66,675900,43.66
"2021-03-04",43.580002,44.290001,41.970001,43.200001,1003700,43.200001
"2021-03-05",44.209999,44.970001,42.169998,44.869999,876000,44.869999
"2021-03-08",44.889999,45.990002,43.529999,43.950001,440700,43.950001
"2021-03-09",44.720001,44.869999,43.57,44.09,334500,44.09
"2021-03-10",44.630001,46.43,44.25,45.57,511900,45.57
"2021-03-11",46.23,46.639999,44.68,45,414700,45
"2021-03-12",44.369999,44.98,43.73,43.860001,381200,43.860001
"2021-03-15",43.619999,44.700001,43.290001,44.66,486400,44.66
"2021-03-16",44.939999,45.490002,44.080002,44.59,350000,44.59
"2021-03-17",44.529999,46.029999,43.580002,45.889999,327700,45.889999
"2021-03-18",45.119999,45.470001,42.970001,43.279999,497100,43.279999
"2021-03-19",43.290001,45.650002,43.279999,45.419998,795600,45.419998
"2021-03-22",45.580002,46.290001,44.599998,44.779999,323000,44.779999
"2021-03-23",44.25,44.849998,42.009998,42.66,401500,42.66
"2021-03-24",43.5,44.57,41.700001,41.900002,550900,41.900002
"2021-03-25",41.189999,44.009998,40.849998,43.959999,310400,43.959999
"2021-03-26",44.290001,45.529999,43.82,45.34,296600,45.34
"2021-03-29",45.279999,45.540001,43.290001,43.630001,419300,43.630001
"2021-03-30",43.439999,44.360001,43.099998,44,426400,44
"2021-03-31",44.369999,45.509998,43.98,45.259998,342600,45.259998
"2021-04-01",45.790001,47.860001,45.580002,47.419998,449800,47.419998
"2021-04-05",47.91,47.919998,45.68,47.349998,377700,47.349998
"2021-04-06",47.119999,47.75,46.939999,47.279999,317100,47.279999
"2021-04-07",47.290001,47.290001,45.860001,46.16,276800,46.16
"2021-04-08",46.43,46.43,44.880001,45.599998,392700,45.599998
"2021-04-09",45.73,46.720001,45.169998,46.279999,372400,46.279999
"2021-04-12",46.470001,46.82,45.610001,46.630001,253800,46.630001
"2021-04-13",46.509998,46.639999,45.049999,45.889999,300100,45.889999
"2021-04-14",45.849998,46.48,44.93,45.869999,225200,45.869999
"2021-04-15",46.389999,47.360001,45.240002,45.34,562500,45.34
"2021-04-16",45.810001,47.029999,45.57,46.790001,309700,46.790001
"2021-04-19",46.580002,46.950001,45.450001,45.630001,414700,45.630001
"2021-04-20",45.619999,45.75,43.5,44,404200,44
"2021-04-21",44.639999,45.16,44.029999,44.650002,253300,44.650002
"2021-04-22",44.639999,45.369999,44.080002,44.630001,344000,44.630001
"2021-04-23",44.41,45.360001,44.169998,44.599998,373200,44.599998
